id_cidade;agua_min_pot;calcario;calca_cal;calc_dol;agua_term;granito_brita;min_manganes;miner_ouro_ouro;gema_diamante;argila;areia
5100102;;;;;;;;;;;2747,34
5100201;;;;;;;;;;;
5100250;;;;;;17476,87;;123919,26;;151,84;21684,13
5100300;;;;;;;;;;;
5100359;;;;;;;;;;;
5100409;;;;;;;;;;;
5100508;;;;;;;;;;;912,12
5100607;;;;;;;;;;;
5100805;;;;;;;;40384,36;;;
5101001;;;;;;;;;;;
5101209;;;;;;;;;;;
5101258;;;;;;;;;;;
5101308;;;;;;;;;;;
5101407;;;;;;;;;;;1610,22
5101605;;;;;;;;;;;
5101704;;245070,54;;;;;;;;5405,56;16382,24
5101803;;;;;;;;;;662,53;3075,21
5101852;;;;;;;;;;;
5101902;;;;;;;;;;41336,58;5192,97
5102504;;896239,78;;73492,17;;;;;;1654,76;2471,60
5102603;;;;;;;;;;;
5102637;;;;;;;;;;;2642,39
5102678;39124,86;;;;;;;;;;
5102686;;;;;;;;;;;267,71
5102694;;;;;;;;;;;
5102702;;;;;;;;;;;244,18
5102793;;;;;;;;41048,48;;;
5102850;;;;;;;;;;;
5103007;45610,57;;;;;;;;;;
5103056;;;;;;;;;;;
5103106;;940017,29;;483842,2;;;;;;;
5103205;;;;;;170011,20;;2279,19;;7463,26;
5103254;;;;;;;;;;;1229,12
5103304;;;;;;;;;;;11374,55
5103353;;;;;;62956,19;;;;;948,19
5103361;;;;;;;;;;;
5103379;;;;;;;;;;;
5103403;31497,16;358916,11;;;;;;66315,96;;14184,50;33,16
5103437;;;;;;;;;;;
5103452;;;;;;;;;;;6879,82
5103502;;;;;;;;;;56837,55;13433,71
5103601;434708,99;;;;;;;;;1027,05;
5103700;;;;;;;;;;;
5103809;;;;;;;;;;;
5103858;;;;;;;;;;;
5103908;;;;;;;;;;;
5103957;;47315,17;;45921,59;;;;;;1830,70;7506,92
5104104;;;;;;;;6630,41;;;1282,41
5104203;;;;;;;101763,00;;;;385,15
5104500;;;;;;;;;;;
5104526;;;;;;;;;;;8216,94
5104542;;;;;;;;;;;
5104559;;;;;;;;50;;;
5104609;;;;;;;;;;;
5104807;184325,06;;;;;;;;;;954,66
5104906;32883,59;;;;;;;;;;
5105002;;;;;;;;;;;
5105101;;;;;;1089,60;;;;1299,58;7291,97
5105150;;;;;;;;;3589,29;825,65;
5105176;;;;;;;;;;;
5105200;;;;;;;;;;;1063,44
5105234;;;;;;;;;;;1833,73
5105259;;;;;;;;;;;
5105309;;;;;;;;;;;
5105580;;;;;;;;;;;3041,46
5105606;;;;;;57848,84;;159983,10;;;
5105622;;;;;;;;;;;
5105903;;4858587,00;9571,81;252891,03;;;;;;26195,17;12660,65
5106000;;;;;;;;;;;
5106109;31763,48;;;;;;;324669,85;;;14300,59
5106158;;;;;;;;2893,15;;294,61;
5106208;;;;;;;;;;;
5106216;;;;;;;;5975,43;;;
5108808;;;;;;;;39008,35;;;
5106182;;;;;;;;101710,68;;;818,8
5108857;;;;;;;;;;;
5108907;;;;;;;;;;;
5108956;;;;;;;;;;624,51;
5106224;;;;;;;;;;;
5106174;;;;;;;;;;;
5106232;;;;;;;;;;;
5106190;;;;;;;;4032,54;;;
5106240;;;;;;;;;;;
5106257;;430408,57;243848,17;;;;;;;;
5106273;;;;;;;;;;;
5106265;;;;;;;;95021,74;;;
5106315;;;;;;;;;;;
5106281;;;;;;;;;;;
5106299;;;;;;;;106344,68;;;34165,07
5106307;;438583,07;;284219,34;;;;;;;
5106372;;;;;;;;;;;3981,86
5106422;;;;;;;;717221,28;;;
5106455;;28164,34;;;;;;;;;
5106505;;;;;;;;564343,46;;;
5106653;;;;;;;;;;;
5106703;;;;;;;;;;;
5106752;;;;;;;;1127411,58;;562,76;7066,66
5106778;;;;;;;;;;;
5106802;;;;;;;;;;;566,99
5106828;;;;;;;;264346,75;;;
5106851;;;;;;;;;;;
5107008;;28591,07;;;;;;;951,38;2065,77;1298,94
5107040;;495281,63;;;;;;;;;
5107065;;;;;;;;;;;941,18
5107156;;;;;;;;;;;
5107180;;;;;;;;;;;996,83
5107198;;;;;;;;;405,39;;
5107206;;;;;;;;;;;
5107578;;;;;;;;;;;
5107602;18983,44;;;;;;;;;6755,70;35965,75
5107701;;708083,58;215995,59;47614,2;;;;188,37;;2468,95;157,18
5107750;;;;;;;;;;;
5107248;;;;;;;;;;;
5107743;;;;;;;;;;;
5107768;;;;;;;;;;;
5107776;;;;;;;;;;;
5107263;;;;;;;;;;;
5107792;;;;;;;;;;;
5107800;39503,38;;;;;293042,13;;;;5634,72;28296,37
5107859;;;;;;;;;;;71,5
5107297;;;;;;;;;;;
5107305;;;;;;;;;;;
5107354;;;;;;;;;;;
5107107;;;;;;;;;;;
5107404;;;;;;;;;;;954,66
5107875;;;;;;;;;;;4178,21
5107883;;;;;;;;;;;
5107909;;;;;;;;;;;62507,07
5107925;;;;;;;;;;1203,00;161275,90
5107941;;;;;;;;;;;
5107958;2498,48;516943,72;;420370,44;;;;;;;8847,47
5108006;;;;;;;;;;;
5108055;;;;;;175904,04;;80659,93;;;
5108105;;;;;;;;;;;
5108204;;;;;;;;;468,79;;
5108303;;;;;;;;;;;
5108352;;;;;;;;;;;
5108402;;;;;;;;14660,04;;33513,48;1362,21
5108501;;;;;;;;;;;
5105507;;;;;;;;941057,98;;;566,56
5108600;;;;;;14970,21;;;;;
