,id_cidade,total,tipo_taxa,atv,ano
0,5100102,2747.34,2,11,2017
1,5100250,17476.87,2,6,2017
2,5100250,123919.26,2,8,2017
3,5100250,151.84,2,10,2017
4,5100250,21684.13,2,11,2017
5,5100508,912.12,2,11,2017
6,5100805,40384.36,2,8,2017
7,5101407,1610.22,2,11,2017
8,5101704,245070.54,2,2,2017
9,5101704,5405.56,2,10,2017
10,5101704,16382.24,2,11,2017
11,5101803,662.53,2,10,2017
12,5101803,3075.21,2,11,2017
13,5101902,41336.58,2,10,2017
14,5101902,5192.97,2,11,2017
15,5102504,896239.78,2,2,2017
16,5102504,73492.17,2,4,2017
17,5102504,1654.76,2,10,2017
18,5102504,2471.6,2,11,2017
19,5102637,2642.39,2,11,2017
20,5102678,39124.86,2,1,2017
21,5102686,267.71,2,11,2017
22,5102702,244.18,2,11,2017
23,5102793,41048.48,2,8,2017
24,5103007,45610.57,2,1,2017
25,5103106,940017.29,2,2,2017
26,5103106,483842.2,2,4,2017
27,5103205,170011.2,2,6,2017
28,5103205,2279.19,2,8,2017
29,5103205,7463.26,2,10,2017
30,5103254,1229.12,2,11,2017
31,5103304,11374.55,2,11,2017
32,5103353,62956.19,2,6,2017
33,5103353,948.19,2,11,2017
34,5103403,31497.16,2,1,2017
35,5103403,358916.11,2,2,2017
36,5103403,66315.96,2,8,2017
37,5103403,14184.5,2,10,2017
38,5103403,33.16,2,11,2017
39,5103452,6879.82,2,11,2017
40,5103502,56837.55,2,10,2017
41,5103502,13433.71,2,11,2017
42,5103601,434708.99,2,1,2017
43,5103601,1027.05,2,10,2017
44,5103957,47315.17,2,2,2017
45,5103957,45921.59,2,4,2017
46,5103957,1830.7,2,10,2017
47,5103957,7506.92,2,11,2017
48,5104104,6630.41,2,8,2017
49,5104104,1282.41,2,11,2017
50,5104203,101763.0,2,7,2017
51,5104203,385.15,2,11,2017
52,5104526,8216.94,2,11,2017
53,5104559,50.0,2,8,2017
54,5104807,184325.06,2,1,2017
55,5104807,954.66,2,11,2017
56,5104906,32883.59,2,1,2017
57,5105101,1089.6,2,6,2017
58,5105101,1299.58,2,10,2017
59,5105101,7291.97,2,11,2017
60,5105150,3589.29,2,9,2017
61,5105150,825.65,2,10,2017
62,5105200,1063.44,2,11,2017
63,5105234,1833.73,2,11,2017
64,5105580,3041.46,2,11,2017
65,5105606,57848.84,2,6,2017
66,5105606,159983.1,2,8,2017
67,5105903,4858587.0,2,2,2017
68,5105903,9571.81,2,3,2017
69,5105903,252891.03,2,4,2017
70,5105903,26195.17,2,10,2017
71,5105903,12660.65,2,11,2017
72,5106109,31763.48,2,1,2017
73,5106109,324669.85,2,8,2017
74,5106109,14300.59,2,11,2017
75,5106158,2893.15,2,8,2017
76,5106158,294.61,2,10,2017
77,5106216,5975.43,2,8,2017
78,5108808,39008.35,2,8,2017
79,5106182,101710.68,2,8,2017
80,5106182,818.8,2,11,2017
81,5108956,624.51,2,10,2017
82,5106190,4032.54,2,8,2017
83,5106257,430408.57,2,2,2017
84,5106257,243848.17,2,3,2017
85,5106265,95021.74,2,8,2017
86,5106299,106344.68,2,8,2017
87,5106299,34165.07,2,11,2017
88,5106307,438583.07,2,2,2017
89,5106307,284219.34,2,4,2017
90,5106372,3981.86,2,11,2017
91,5106422,717221.28,2,8,2017
92,5106455,28164.34,2,2,2017
93,5106505,564343.46,2,8,2017
94,5106752,1127411.58,2,8,2017
95,5106752,562.76,2,10,2017
96,5106752,7066.66,2,11,2017
97,5106802,566.99,2,11,2017
98,5106828,264346.75,2,8,2017
99,5107008,28591.07,2,2,2017
100,5107008,951.38,2,9,2017
101,5107008,2065.77,2,10,2017
102,5107008,1298.94,2,11,2017
103,5107040,495281.63,2,2,2017
104,5107065,941.18,2,11,2017
105,5107180,996.83,2,11,2017
106,5107198,405.39,2,9,2017
107,5107602,18983.44,2,1,2017
108,5107602,6755.7,2,10,2017
109,5107602,35965.75,2,11,2017
110,5107701,708083.58,2,2,2017
111,5107701,215995.59,2,3,2017
112,5107701,47614.2,2,4,2017
113,5107701,188.37,2,8,2017
114,5107701,2468.95,2,10,2017
115,5107701,157.18,2,11,2017
116,5107800,39503.38,2,1,2017
117,5107800,293042.13,2,6,2017
118,5107800,5634.72,2,10,2017
119,5107800,28296.37,2,11,2017
120,5107859,71.5,2,11,2017
121,5107404,954.66,2,11,2017
122,5107875,4178.21,2,11,2017
123,5107909,62507.07,2,11,2017
124,5107925,1203.0,2,10,2017
125,5107925,161275.9,2,11,2017
126,5107958,2498.48,2,1,2017
127,5107958,516943.72,2,2,2017
128,5107958,420370.44,2,4,2017
129,5107958,8847.47,2,11,2017
130,5108055,175904.04,2,6,2017
131,5108055,80659.93,2,8,2017
132,5108204,468.79,2,9,2017
133,5108402,14660.04,2,8,2017
134,5108402,33513.48,2,10,2017
135,5108402,1362.21,2,11,2017
136,5105507,941057.98,2,8,2017
137,5105507,566.56,2,11,2017
138,5108600,14970.21,2,6,2017
