nome,id,populacao_rural,populacao_urbana
Acorizal - MT,5100102,2589,2927
Água Boa - MT,5100201,4119,16725
Alta Floresta - MT,5100250,6446,42787
Alto Araguaia - MT,5100300,1814,13856
Alto Boa Vista - MT,5100359,2069,3180
Alto Garças - MT,5100409,896,9425
Alto Paraguai - MT,5100508,3540,6411
Alto Taquari - MT,5100607,754,7346
Apiacás - MT,5100805,2181,6357
Araguaiana - MT,5101001,1031,2190
Araguainha - MT,5101209,151,944
Araputanga - MT,5101258,3181,12206
Arenápolis - MT,5101308,571,9784
Aripuanã - MT,5101407,6907,11674
Barão de Melgaço - MT,5101605,4169,3422
Barra do Bugres - MT,5101704,5146,25912
Barra do Garças - MT,5101803,5493,50930
Bom Jesus do Araguaia - MT,5101852,2599,2632
Brasnorte - MT,5101902,5290,9990
Cáceres - MT,5102504,11354,76558
Campinápolis - MT,5102603,9406,4816
Campo Novo do Parecis - MT,5102637,1993,25581
Campo Verde - MT,5102678,6100,25512
Campos de Júlio - MT,5102686,1028,3991
Canabrava do Norte - MT,5102694,2094,2673
Canarana - MT,5102702,3888,14813
Carlinda - MT,5102793,6416,4569
Castanheira - MT,5102850,4310,3921
Chapada dos Guimarães - MT,5103007,6811,10988
Cláudia - MT,5103056,2515,8457
Cocalinho - MT,5103106,1851,3647
Colíder - MT,5103205,5799,25065
Colniza - MT,5103254,11379,15011
Comodoro - MT,5103304,5589,12568
Confresa - MT,5103353,8903,16224
Conquista D'Oeste - MT,5103361,1335,2053
Cotriguaçu - MT,5103379,9855,5132
Cuiabá - MT,5103403,10348,541002
Curvelândia - MT,5103437,1984,2914
Denise - MT,5103452,1235,7259
Diamantino - MT,5103502,4500,15920
Dom Aquino - MT,5103601,1589,6542
Feliz Natal - MT,5103700,2810,8123
Figueirópolis D'Oeste - MT,5103809,1791,2014
Gaúcha do Norte - MT,5103858,4088,2199
General Carneiro - MT,5103908,2662,2356
Glória D'Oeste - MT,5103957,996,2129
Guarantã do Norte - MT,5104104,8233,23917
Guiratinga - MT,5104203,2433,11434
Indiavaí - MT,5104500,629,1778
Ipiranga do Norte - MT,5104526,1648,3475
Itanhangá - MT,5104542,2095,3165
Itaúba - MT,5104559,860,3710
Itiquira - MT,5104609,7046,4447
Jaciara - MT,5104807,2024,23642
Jangada - MT,5104906,4750,2946
Jauru - MT,5105002,4290,6171
Juara - MT,5105101,6738,26031
Juína - MT,5105150,5291,33969
Juruena - MT,5105176,4468,6801
Juscimeira - MT,5105200,2934,8500
Lambari D'Oeste - MT,5105234,2540,2898
Lucas do Rio Verde - MT,5105259,3107,42438
Luciara - MT,5105309,195,2034
Marcelândia - MT,5105580,4576,7418
Matupá - MT,5105606,3243,10929
Mirassol d'Oeste - MT,5105622,3866,21465
Nobres - MT,5105903,2550,12461
Nortelândia - MT,5106000,1162,5276
Nossa Senhora do Livramento - MT,5106109,7345,4247
Nova Bandeirantes - MT,5106158,7570,4060
Nova Brasilândia - MT,5106208,930,3663
Nova Canaã do Norte - MT,5106216,5315,6817
Nova Guarita - MT,5108808,2992,1937
Nova Lacerda - MT,5106182,2473,2996
Nova Marilândia - MT,5108857,992,1933
Nova Maringá - MT,5108907,3169,3421
Nova Monte Verde - MT,5108956,4115,3973
Nova Mutum - MT,5106224,5775,25858
Nova Nazaré - MT,5106174,1909,1112
Nova Olímpia - MT,5106232,1686,15843
Nova Santa Helena - MT,5106190,1475,2000
Nova Ubiratã - MT,5106240,3310,5935
Nova Xavantina - MT,5106257,3744,15731
Novo Horizonte do Norte - MT,5106273,1969,1777
Novo Mundo - MT,5106265,4433,2636
Novo Santo Antônio - MT,5106315,659,1346
Novo São Joaquim - MT,5106281,2326,3717
Paranaíta - MT,5106299,5036,5654
Paranatinga - MT,5106307,4468,14812
Pedra Preta - MT,5106372,4312,11381
Peixoto de Azevedo - MT,5106422,10963,19799
Planalto da Serra - MT,5106455,672,2054
Poconé - MT,5106505,8716,23062
Pontal do Araguaia - MT,5106653,943,4484
Ponte Branca - MT,5106703,267,1516
Pontes e Lacerda - MT,5106752,6757,34629
Porto Alegre do Norte - MT,5106778,5575,5179
Porto dos Gaúchos - MT,5106802,2681,2767
Porto Esperidião - MT,5106828,6778,4172
Porto Estrela - MT,5106851,2173,1466
Poxoréu - MT,5107008,5678,11924
Primavera do Leste - MT,5107040,2806,49308
Querência - MT,5107065,7049,5972
Reserva do Cabaçal - MT,5107156,956,1622
Ribeirão Cascalheira - MT,5107180,3320,5560
Ribeirãozinho - MT,5107198,645,1554
Rio Branco - MT,5107206,917,4144
Rondolândia - MT,5107578,2588,950
Rondonópolis - MT,5107602,7431,188119
Rosário Oeste - MT,5107701,7026,10656
Salto do Céu - MT,5107750,1718,2185
Santa Carmem - MT,5107248,1004,3071
Santa Cruz do Xingu - MT,5107743,648,1251
Santa Rita do Trivelato - MT,5107768,1101,1365
Santa Terezinha - MT,5107776,4423,2976
Santo Afonso - MT,5107263,1436,1538
Santo Antônio do Leste - MT,5107792,1638,2119
Santo Antônio do Leverger - MT,5107800,11261,7148
São Félix do Araguaia - MT,5107859,4367,6164
São José do Povo - MT,5107297,1843,1758
São José do Rio Claro - MT,5107305,3958,13170
São José do Xingu - MT,5107354,1476,3791
São José dos Quatro Marcos - MT,5107107,4457,14506
São Pedro da Cipa - MT,5107404,448,3694
Sapezal - MT,5107875,2960,15120
Serra Nova Dourada - MT,5107883,552,813
Sinop - MT,5107909,19347,93735
Sorriso - MT,5107925,8143,58363
Tabaporã - MT,5107941,4638,5279
Tangará da Serra - MT,5107958,8193,75883
Tapurah - MT,5108006,3864,6526
Terra Nova do Norte - MT,5108055,6242,5060
Tesouro - MT,5108105,1039,2398
Torixoréu - MT,5108204,919,3117
União do Sul - MT,5108303,1428,2339
Vale de São Domingos - MT,5108352,2345,713
Várzea Grande - MT,5108402,3880,248829
Vera - MT,5108501,2886,7349
Vila Bela da Santíssima Trindade - MT,5105507,9316,5175
Vila Rica - MT,5108600,7426,13977
